id,program_code,name,faculty,level,university_name,city,budget_places,paid_places,tuition_cost_rub_year,budget_passing_score,paid_min_score,duration,study_format,language,accreditation,total_places,budget_ratio,tuition_log,paid_min_score_missing,budget_score_missing,cluster_raw,competitiveness_class
29,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Инженерный институт СКГА,Бакалавриат,Северо-Кавказская государственная академия,Черкесск,50.0,10.0,112000.0,142.0,,0.0,Очная,Русский,государственный,60.0,0.8333333333333334,11.626263078808801,0,0,0,0
30,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт интеллектуальных кибернетических систем ИАТЭ НИЯУ МИФИ,Бакалавриат,Обнинский институт атомной энергетики (филиал НИЯУ МИФИ),Обнинск,20.0,5.0,168000.0,206.0,,0.0,Очная,Русский,государственный,25.0,0.8,12.031725210748633,0,0,0,0
31,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Естественно-математический факультет СИ (филиала) БашГУ,Бакалавриат,Сибайский институт филиал Уфимского университета науки и технологий,Сибай,17.0,20.0,148300.0,,,0.0,Очная,Русский,государственный,37.0,0.4594594594594595,11.906999271191623,0,0,0,0
32,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Естественно-математический факультет СИ (филиала) БашГУ,Бакалавриат,Сибайский институт филиал Уфимского университета науки и технологий,Сибай,25.0,20.0,45000.0,134.0,118.0,0.0,Очно-заочная,Русский,государственный,45.0,0.5555555555555556,10.714439990727769,0,0,2,1
33,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт информатики, математики и робототехники УУНиТ",Бакалавриат,Уфимский университет науки и технологий,Уфа,110.0,20.0,148300.0,198.0,,0.0,Очная,Русский,государственный,130.0,0.8461538461538461,11.906999271191623,0,0,1,2
34,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Факультет вычислительной математики и кибернетики МГУ,Бакалавриат,Московский государственный университет имени М.В. Ломоносова,Москва,19.0,3.0,512810.0,437.0,267.0,0.0,Очная,Русский,государственный,22.0,0.8636363636363636,13.147662635216566,0,0,1,2
35,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Институт вычислительной математики и информационных технологий КФУ,Бакалавриат,Казанский (Приволжский) федеральный университет,Казань,25.0,22.0,258048.0,247.0,,0.0,Очная,Русский,государственный,47.0,0.5319148936170213,12.460904768351384,0,0,0,0
36,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,"Институт информационных технологий, математики и механики ННГУ им. Лобачевского",Бакалавриат,Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского,Нижний Нов..,,5.0,240000.0,,,0.0,Очная,Русский,государственный,,0.0,12.388398368982115,0,0,0,0
37,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Высшая школа электроники и компьютерных наук ЮУрГУ,Бакалавриат,Южно-Уральский государственный университет (национальный исследовательский университет),Челябинск,40.0,5.0,165800.0,218.0,118.0,0.0,Очная,Русский,государственный,45.0,0.8888888888888888,12.01854355302823,0,0,0,0
38,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,"Институт математики, механики и компьютерных наук им. И.И. Воровича ЮФУ",Бакалавриат,Южный федеральный университет,Ростов-на-..,100.0,15.0,159000.0,225.0,,0.0,Очная,Русский,государственный,115.0,0.8695652173913043,11.976665770490767,0,0,1,2
