id,program_code,name,faculty,level,university_name,city,budget_places,paid_places,tuition_cost_rub_year,budget_passing_score,paid_min_score,duration,study_format,language,accreditation
64,01.03.03 | Механика и математическое моделирование,Математическое моделирование и компьютерный инжиниринг,"Институт математики, информационных технологий и физики УдГУ",Бакалавриат,Удмуртский государственный университет,Ижевск,12.0,10.0,140700.0,122.0,119.0,4 года,Очная,Русский,государственный
65,01.03.03 | Механика и математическое моделирование,Математическое моделирование и компьютерный инжиниринг,"Факультет прикладной математики, информатики и механики ВГУ",Бакалавриат,Воронежский государственный университет,Воронеж,30.0,10.0,153200.0,162.0,119.0,4 года,Очная,Русский,государственный
66,01.03.03 | Механика и математическое моделирование,Математическое моделирование и компьютерный инжиниринг,Институт компьютерных наук ЛГТУ,Бакалавриат,Липецкий государственный технический университет,Липецк,20.0,5.0,135497.0,126.0,119.0,4 года,Очная,Русский,государственный
67,02.03.01 | Математика и компьютерные науки,Математические основы компьютерных наук,Математико-механический факультет СПбГУ,Бакалавриат,Санкт-Петербургский государственный университет,Санкт-Пете..,20.0,6.0,365000.0,264.0,,4 года,Очная,Русский,государственный
68,02.03.01 | Математика и компьютерные науки,Математические основы компьютерных наук,Институт естественных наук и математики,Бакалавриат,Уральский федеральный университет имени первого Президента России Б. Н. Ельцина,Екатеринбург,75.0,30.0,196000.0,240.0,,4 года,Очная,Русский,государственный
69,02.03.01 | Математика и компьютерные науки,Математические основы компьютерных наук,Механико-математический факультет СГУ им. Чернышевского,Бакалавриат,Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского,Саратов,30.0,10.0,119052.0,162.0,,4 года,Очная,Русский,государственный
70,02.03.01 | Математика и компьютерные науки,Математические основы компьютерных наук,Факультет математики и информационных технологий АлтГУ,Бакалавриат,Алтайский государственный университет,Барнаул,20.0,3.0,151390.0,177.0,,4 года,Очная,Русский,государственный
71,02.03.01 | Математика и компьютерные науки,Математические основы компьютерных наук,Факультет автоматики и вычислительной техники ВятГУ,Бакалавриат,Вятский государственный университет,Киров,23.0,30.0,198500.0,180.0,119.0,4 года,Очная,Русский,государственный
72,02.03.01 | Математика и компьютерные науки,Математическое и компьютерное моделирование,Факультет Фундаментальные науки(ФН),Бакалавриат,Московский государственный технический университет им. Н.Э. Баумана,Москва,10.0,8.0,459000.0,281.0,,4 года,Очная,Русский,государственный
73,02.03.01 | Математика и компьютерные науки,Математическое и компьютерное моделирование,Институт математики и фундаментальной информатики СФУ,Бакалавриат,Сибирский федеральный университет,Красноярск,45.0,2.0,222000.0,193.0,,4 года,Очная,Русский,государственный
74,02.03.01 | Математика и компьютерные науки,Математическое и компьютерное моделирование,Факультет математики и компьютерных наук КубГУ,Бакалавриат,Кубанский государственный университет,Краснодар,20.0,8.0,170000.0,197.0,,4 года,Очная,Русский,государственный
75,02.03.01 | Математика и компьютерные науки,Математическое и компьютерное моделирование,"Институт математики, информационных технологий и физики УдГУ",Бакалавриат,Удмуртский государственный университет,Ижевск,20.0,10.0,140700.0,114.0,119.0,4 года,Очная,Русский,государственный
76,02.03.01 | Математика и компьютерные науки,Математическое и компьютерное моделирование,Математический факультет ВГУ,Бакалавриат,Воронежский государственный университет,Воронеж,47.0,10.0,153200.0,169.0,,4 года,Очная,Русский,государственный
77,02.03.01 | Математика и компьютерные науки,Математическое и компьютерное моделирование,Факультет математики и компьютерных наук ДГУ,Бакалавриат,Дагестанский государственный университет,Махачкала,19.0,10.0,106410.0,143.0,119.0,4 года,Очная,Русский,государственный
78,02.03.01 | Математика и компьютерные науки,Математическое и компьютерное моделирование,Институт фундаментальных наук КемГУ,Бакалавриат,Кемеровский государственный университет,Кемерово,20.0,4.0,161000.0,142.0,,4 года,Очная,Русский,государственный
79,02.03.01 | Математика и компьютерные науки,Математическое и компьютерное моделирование,Инженерный факультет ВГСХА,Бакалавриат,Вятский государственный агротехнологический университет,Киров,,30.0,136000.0,,99.0,4 года,Очная,Русский,государственный
80,02.03.01 | Математика и компьютерные науки,Математическое и компьютерное моделирование,Математический факультет ТвГУ,Бакалавриат,Тверской государственный университет,Тверь,24.0,8.0,139900.0,158.0,,4 года,Очная,Русский,государственный
81,38.03.05 | Бизнес-информатика,Бизнес-информатика,Высшая школа бизнеса НИУ ВШЭ,Бакалавриат,Национальный исследовательский университет «Высшая школа экономики»,Москва,130.0,130.0,850000.0,288.0,,4 года,Очная,Русский,государственный
82,38.03.05 | Бизнес-информатика,Бизнес-информатика,Институт информационных систем управления,Бакалавриат,Государственный университет управления,Москва,8.0,75.0,316000.0,257.0,,4 года,Очная,Русский,государственный
83,38.03.05 | Бизнес-информатика,Бизнес-информатика,Институт информационных систем управления,Бакалавриат,Государственный университет управления,Москва,,20.0,140000.0,,,5 лет,Очно-заочная,Русский,государственный
84,38.03.05 | Бизнес-информатика,Бизнес-информатика,Факультет технологического менеджмента и инноваций Университета ИТМО,Бакалавриат,Национальный исследовательский университет ИТМО,Санкт-Пете..,59.0,170.0,459000.0,268.0,180.0,4 года,Очная,Русский,государственный
85,38.03.05 | Бизнес-информатика,Бизнес-информатика,Факультет управления бизнесом,Бакалавриат,Институт бизнеса и дизайна,Москва,,50.0,312000.0,,,4 года,Очная,Русский,негосударственный
86,38.03.05 | Бизнес-информатика,Бизнес-информатика,Экономический факультет СПбГУ,Бакалавриат,Санкт-Петербургский государственный университет,Санкт-Пете..,15.0,85.0,381400.0,270.0,,4 года,Очная,Русский,государственный
87,38.03.05 | Бизнес-информатика,Бизнес-информатика,Инженерно-экономический факультет СПбГМТУ,Бакалавриат,"Санкт-Петербургский государственный морской технический университет ""Корабелка""",Санкт-Пете..,12.0,50.0,238500.0,254.0,,4 года,Очная,Русский,государственный
88,38.03.05 | Бизнес-информатика,Бизнес-информатика,Факультет строительства и управления СЗУ,Бакалавриат,Северо-Западный университет,Санкт-Пете..,,25.0,180000.0,,95.0,4 года,Очная,Русский,негосударственный
89,38.03.05 | Бизнес-информатика,Бизнес-информатика,Экономический факультет НГУ,Бакалавриат,Новосибирский национальный исследовательский государственный университет,Новосибирс..,30.0,25.0,250000.0,248.0,,4 года,Очная,Русский,государственный
90,38.03.05 | Бизнес-информатика,Бизнес-информатика,Факультет экономики и управления НГАУ,Бакалавриат,Новосибирский государственный аграрный университет,Новосибирс..,,30.0,154610.0,,114.0,4 года,Очная,Русский,государственный
91,38.03.05 | Бизнес-информатика,Бизнес-информатика,Факультет экономики и управления НГАУ,Бакалавриат,Новосибирский государственный аграрный университет,Новосибирс..,,30.0,68054.0,,,4.5 года,Очно-заочная,Русский,государственный
92,38.03.05 | Бизнес-информатика,Бизнес-информатика,Институт вычислительной математики и информационных технологий КФУ,Бакалавриат,Казанский (Приволжский) федеральный университет,Казань,10.0,46.0,253080.0,265.0,,4 года,Очная,Русский,государственный
